_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
222,1996,17,Morelos,46,7,0,53,730135,757143,1487278,6.30020475665459,0.924528127447523,3.56355704851413
223,1996,18,Nayarit,17,2,0,19,460902,457321,918223,3.68841966405006,0.437329578130023,2.06921412336655
224,1996,19,Nuevo León,70,14,0,84,1835393,1824205,3659598,3.81389707817345,0.767457604819634,2.29533407767738
225,1996,20,Oaxaca,65,12,0,77,1640109,1696262,3336371,3.96315122958291,0.707437884006126,2.30789681363374
226,1996,21,Puebla,50,14,0,64,2365829,2468532,4834361,2.11342408939953,0.567138688094787,1.3238564517627
227,1996,22,Querétaro,27,4,0,31,641223,657654,1298877,4.21070360857299,0.608222560799448,2.38667710645427
228,1996,23,Quintana Roo,44,5,0,49,382077,358597,740674,11.5160033187028,1.39432287498222,6.61559606520548
229,1996,24,San Luis Potosí,74,10,0,84,1124874,1143689,2268563,6.57851457140978,0.874363572614583,3.70278453805338
230,1996,25,Sinaloa,46,8,0,54,1251602,1236059,2487661,3.67528974865812,0.647218296214016,2.17071377490743
231,1996,26,Sonora,94,13,0,107,1083041,1062084,2145125,8.67926514324019,1.22400864715032,4.98805430918944
232,1996,27,Tabasco,136,32,0,168,904019,901703,1805722,15.0439315987828,3.54884036096143,9.30375772128822
233,1996,28,Tamaulipas,81,10,0,91,1300531,1308889,2609420,6.22822524030569,0.764006726315218,3.48736500831602
234,1996,29,Tlaxcala,10,4,0,14,454337,464660,918997,2.201009382903,0.860844488443163,1.52339996757334
235,1996,30,Veracruz,190,43,0,233,3413422,3486864,6900286,5.56626165765616,1.23319980360576,3.37667163361055
236,1996,31,Yucatán,87,7,0,94,801134,804839,1605973,10.8596065077752,0.869739165224349,5.85314946141685
237,1996,32,Zacatecas,36,7,0,43,676494,698427,1374921,5.32155495835883,1.00225220388101,3.12745241362958
238,1996,33,Extranjero,27,2,0,29,,,,,,
239,1997,0,Nacional,2830,549,1,3380,47150749,48287270,95438019,6.00202554576599,1.13694561734387,3.54156554737374
